,1
244,166.8695831298828
245,233.57086181640625
246,170.35710025579002
247,144.61325073242188
248,182.13870239257812
249,244.32870483398438
250,199.59286499023438
251,211.26824951171875
252,185.3179168701172
253,208.79518127441406
254,222.449951171875
255,225.04986572265625
256,197.29136657714844
257,257.95416259765625
258,222.602783203125
259,216.09744262695312
260,200.42979431152344
261,176.06439208984375
262,205.44677734375
263,181.5637969970703
264,203.99215698242188
265,208.0082550048828
266,237.851806640625
267,196.92388916015625
268,201.45346069335938
269,212.06439208984375
270,224.45835876464844
271,214.50396728515625
272,191.63058471679688
273,188.48599243164062
274,194.7839813232422
275,232.10365295410156
276,216.33837890625
277,192.93505859375
278,175.73391723632812
279,228.21182250976562
280,178.3680419921875
281,208.86904907226562
282,184.58450317382812
283,172.76622009277344
284,203.28834533691406
285,276.9927978515625
286,224.88961791992188
287,185.08523559570312
288,227.39427185058594
289,206.8230743408203
290,197.76028442382812
291,204.70956420898438
292,247.87353515625
293,207.6223602294922
294,182.02952575683594
295,180.2457733154297
296,223.53836059570312
297,181.5633544921875
298,164.86517333984375
299,197.9883575439453
300,195.09039306640625
301,250.37254333496094
302,209.36721801757812
303,160.537353515625
304,179.00564575195312
305,237.99984741210938
306,188.18203735351562
307,248.6898651123047
308,168.14614868164062
309,185.0115203857422
310,226.36422729492188
311,266.10028076171875
312,189.5692596435547
313,234.90631103515625
314,219.91781616210938
315,202.84512329101562
316,178.01451110839844
317,203.8859405517578
318,260.8713684082031
319,195.47837829589844
320,166.77610778808594
321,223.8509521484375
322,198.68284606933594
323,175.84432983398438
324,235.798583984375
325,226.26675415039062
326,193.1381072998047
327,227.83599853515625
328,179.74551391601562
329,212.02159118652344
330,241.20249938964844
331,235.84432983398438
332,181.04173278808594
333,197.93338012695312
334,183.44357299804688
335,178.1879425048828
336,215.6044921875
337,156.14199829101562
338,196.11782836914062
339,221.32882690429688
340,213.472412109375
341,201.8628387451172
342,237.19073486328125
343,196.68637084960938
344,192.43966674804688
345,200.41819763183594
346,193.3514404296875
347,188.7182159423828
348,280.5816650390625
349,183.03919982910156
350,198.9412841796875
351,229.80558978128525
352,220.44915771484375
353,170.71461486816406
354,239.21401977539062
355,221.803466796875
356,222.77880859375
357,212.01663208007812
358,181.69041442871094
359,196.35606384277344
360,228.10755920410156
361,134.86827087402344
362,201.4302978515625
363,228.7415313720703
364,181.61822509765625
365,233.00875854492188
366,239.84210205078125
367,226.71929931640625
368,203.99404907226562
369,226.89230346679688
370,183.79354858398438
371,240.25198364257812
372,162.64297485351562
373,221.80194091796875
374,202.66575622558594
375,248.67263793945312
376,135.7677764892578
377,148.62246704101562
378,234.50631713867188
379,202.42405700683594
380,196.98385620117188
381,203.56936645507812
382,226.89202880859375
383,226.36817932128906
384,223.20985412597656
385,244.71563720703125
386,212.55067443847656
387,201.3623504638672
388,234.2171173095703
389,218.67486572265625
390,231.7982940673828
391,198.70335388183594
392,226.98106384277344
393,191.63229370117188
394,194.64566040039062
395,180.50230407714844
396,251.97137451171875
397,191.59634399414062
398,182.39999389648438
399,207.01918029785156
400,207.41201782226562
401,168.71922302246094
402,189.23056030273438
403,236.97061157226562
404,198.4358673095703
405,195.88436889648438
406,212.6825408935547
407,229.90740966796875
408,184.9028778076172
409,226.6872100830078
410,238.09271240234375
411,214.20547485351562
412,220.93753051757812
413,200.93264770507812
414,185.06036376953125
415,243.1346435546875
416,203.62135314941406
417,259.68731689453125
418,215.5455606945634
419,245.19805908203125
420,206.70790100097656
421,221.19210815429688
422,187.60789489746094
423,206.03887939453125
424,210.60525512695312
425,182.0733642578125
426,205.72226803380227
427,215.4735107421875
428,157.57130432128906
429,259.915771484375
430,194.6114959716797
431,158.57803344726562
432,209.8534393310547
433,182.08877563476562
434,208.96324157714844
435,220.54710388183594
436,255.53265380859375
437,235.46751403808594
438,149.926513671875
439,194.88241577148438
440,190.78057861328125
441,211.50997924804688
442,194.26666259765625
443,209.76805114746094
444,177.364990234375
445,166.1477813720703
446,192.5762481689453
447,208.5858612060547
448,222.7584228515625
449,180.24017333984375
450,189.8231201171875
451,220.5496063232422
452,188.42266845703125
453,191.33663940429688
454,358.7674865722656
